Ingredient,Function,Comedogenic Rating,Irritancy,Good For,Bad For,Description
Punica Granatum Oil,Humectant,1,0,Acne,None,Natural plant-derived humectant from Punica Granatum.
Cocamidopropyl Hyaluronate,Chelating,0,1,Oily,Acne,A standard cosmetic chelating used in skincare formulations.
PPG-10 Soy Protein,Exfoliant,1,3,Aging,None,A standard cosmetic exfoliant used in skincare formulations.
Methyl Chloride,Thickener,5,1,Dry,None,A standard cosmetic thickener used in skincare formulations.
PEG-8 Chloride,Soothing,0,1,Acne,Acne,A standard cosmetic soothing used in skincare formulations.
Calcium Ceramide NP,Astringent,0,0,Acne,None,A standard cosmetic astringent used in skincare formulations.
Lauryl Stearate,Antioxidant,2,1,Aging,None,A standard cosmetic antioxidant used in skincare formulations.
Cocoyl Laurate,Buffering,2,0,Dry,Dry,A standard cosmetic buffering used in skincare formulations.
Sodium Niacinamide,Antioxidant,1,0,Sensitive,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Triticum Vulgare Essential Oil,Emollient,3,2,Oily,Sensitive,Natural plant-derived emollient from Triticum Vulgare.
Iron Carbonate,Viscosity Controller,2,1,All,Dry,A standard cosmetic viscosity controller used in skincare formulations.
PEG-40 Crosspolymer,Chelating,1,1,Sensitive,None,A standard cosmetic chelating used in skincare formulations.
Rosa Damascena Ferment Filtrate,Emollient,0,0,Oily,None,Natural plant-derived emollient from Rosa Damascena.
Triticum Vulgare Juice,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Triticum Vulgare.
Aluminum Oat Protein,Thickener,5,1,Acne,Oily,A standard cosmetic thickener used in skincare formulations.
PEG-8 Gluconate,Antioxidant,2,0,Sensitive,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Calendula Officinalis Essential Oil,Humectant,2,3,Dry,Sensitive,Natural plant-derived humectant from Calendula Officinalis.
Magnesium Salicylate,Viscosity Controller,1,0,Aging,None,A standard cosmetic viscosity controller used in skincare formulations.
Methyl Sulfate,Viscosity Controller,0,0,Acne,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Acetylated Soy Protein,Chelating,0,0,Dry,Dry,A standard cosmetic chelating used in skincare formulations.
Methyl Ceramide NP,Emollient,2,0,Aging,Oily,A standard cosmetic emollient used in skincare formulations.
Simmondsia Chinensis Wax,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Simmondsia Chinensis.
Butyl Stearate,Emulsifier,2,0,Acne,None,A standard cosmetic emulsifier used in skincare formulations.
Cetearyl Myristate,Exfoliant,0,1,Acne,None,A standard cosmetic exfoliant used in skincare formulations.
Polysorbate 60 Citrate,Emollient,2,1,Oily,Sensitive,A standard cosmetic emollient used in skincare formulations.
Palmitoyl Silk,Soothing,2,1,Oily,Sensitive,A standard cosmetic soothing used in skincare formulations.
Aluminum Stearate,Antioxidant,2,1,Dry,Dry,A standard cosmetic antioxidant used in skincare formulations.
Propyl Keratin,Surfactant,0,4,Dry,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Calcium Keratin,Buffering,2,0,Dry,Oily,A standard cosmetic buffering used in skincare formulations.
PPG-15 Gluconate,Chelating,1,1,Dry,Acne,A standard cosmetic chelating used in skincare formulations.
Sodium Phosphate,Buffering,2,1,All,Sensitive,A standard cosmetic buffering used in skincare formulations.
Isobutyl Carbonate,Humectant,1,1,Sensitive,Acne,A standard cosmetic humectant used in skincare formulations.
Cetyl Laurate,Soothing,1,0,Oily,Dry,A standard cosmetic soothing used in skincare formulations.
Polyglyceryl-3 Ceramide NP,Buffering,0,0,Dry,Oily,A standard cosmetic buffering used in skincare formulations.
Sorbitan Phosphate,Antioxidant,0,1,Aging,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Lauryl Tocopherol,Humectant,0,0,Acne,Oily,A standard cosmetic humectant used in skincare formulations.
PPG-15 Silk,Viscosity Controller,2,1,Aging,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
PEG-20 Collagen,Surfactant,2,4,Acne,None,A standard cosmetic surfactant used in skincare formulations.
Camellia Sinensis Root Extract,Emollient,0,0,Aging,None,Natural plant-derived emollient from Camellia Sinensis.
Centella Asiatica Bark Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Centella Asiatica.
Cocoyl Ceramide NP,Soothing,0,0,Dry,Dry,A standard cosmetic soothing used in skincare formulations.
Caprylic Stearate,Solvent,2,1,Aging,None,A standard cosmetic solvent used in skincare formulations.
Centella Asiatica Butter,Humectant,2,0,Dry,None,Natural plant-derived humectant from Centella Asiatica.
Aloe Barbadensis Butter,Antioxidant,3,0,Sensitive,None,Natural plant-derived antioxidant from Aloe Barbadensis.
Lauroyl Ceramide EOP,Surfactant,2,0,Aging,Oily,A standard cosmetic surfactant used in skincare formulations.
Butyl Ceramide NP,Exfoliant,2,5,Dry,Oily,A standard cosmetic exfoliant used in skincare formulations.
Capric Panthenol,Surfactant,0,0,Acne,Acne,A standard cosmetic surfactant used in skincare formulations.
Hydrolyzed Niacinamide,Astringent,2,0,Acne,Dry,A standard cosmetic astringent used in skincare formulations.
Propyl Laurate,Humectant,2,0,All,None,A standard cosmetic humectant used in skincare formulations.
Potassium Benzoate,Preservative,1,3,All,Acne,A standard cosmetic preservative used in skincare formulations.
Cocos Nucifera Seed Extract,Humectant,0,0,Oily,None,Natural plant-derived humectant from Cocos Nucifera.
Acetylated Laurate,Preservative,1,4,Sensitive,Acne,A standard cosmetic preservative used in skincare formulations.
Polysorbate 60 Hydroxide,Chelating,1,0,Dry,Oily,A standard cosmetic chelating used in skincare formulations.
Isobutyl Oleate,Chelating,0,1,Acne,Oily,A standard cosmetic chelating used in skincare formulations.
Prunus Amygdalus Dulcis Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Prunus Amygdalus Dulcis.
Macadamia Ternifolia Essential Oil,Antioxidant,2,2,Acne,Sensitive,Natural plant-derived antioxidant from Macadamia Ternifolia.
Punica Granatum Flower Extract,Humectant,0,0,Aging,None,Natural plant-derived humectant from Punica Granatum.
Rosa Damascena Essential Oil,Emollient,4,1,Dry,Sensitive,Natural plant-derived emollient from Rosa Damascena.
Polyglyceryl-3 Ascorbate,Astringent,0,0,All,Dry,A standard cosmetic astringent used in skincare formulations.
Eucalyptus Globulus Oil,Emollient,3,0,All,None,Natural plant-derived emollient from Eucalyptus Globulus.
Cocamidopropyl Oxide,Antioxidant,0,0,Sensitive,Acne,A standard cosmetic antioxidant used in skincare formulations.
Polysorbate 80 Ceramide EOP,Buffering,2,1,Acne,Oily,A standard cosmetic buffering used in skincare formulations.
Caprylic Hyaluronate,Thickener,2,1,Oily,Acne,A standard cosmetic thickener used in skincare formulations.
Iron Niacinamide,Surfactant,1,0,All,Dry,A standard cosmetic surfactant used in skincare formulations.
Aluminum Panthenol,Thickener,1,0,Dry,None,A standard cosmetic thickener used in skincare formulations.
Ethyl Ceramide AP,Chelating,0,0,Acne,None,A standard cosmetic chelating used in skincare formulations.
Oryza Sativa Essential Oil,Antioxidant,2,2,Oily,Sensitive,Natural plant-derived antioxidant from Oryza Sativa.
Glyceryl Stearate,Emulsifier,2,1,Oily,None,A standard cosmetic emulsifier used in skincare formulations.
Zea Mays Flower Extract,Emollient,0,0,Acne,None,Natural plant-derived emollient from Zea Mays.
Melaleuca Alternifolia Essential Oil,Antioxidant,3,3,Sensitive,Sensitive,Natural plant-derived antioxidant from Melaleuca Alternifolia.
PEG-40 Sulfate,Antioxidant,2,1,All,None,A standard cosmetic antioxidant used in skincare formulations.
Glyceryl Chloride,Antioxidant,2,0,Aging,Acne,A standard cosmetic antioxidant used in skincare formulations.
PEG-40 Oat Protein,Humectant,2,1,Sensitive,Sensitive,A standard cosmetic humectant used in skincare formulations.
Cetyl Ascorbate,Emulsifier,1,0,Aging,None,A standard cosmetic emulsifier used in skincare formulations.
Prunus Amygdalus Dulcis Leaf Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Prunus Amygdalus Dulcis.
Magnesium Hydroxide,Buffering,0,0,Sensitive,Sensitive,A standard cosmetic buffering used in skincare formulations.
Cocamidopropyl Citrate,Exfoliant,0,3,Dry,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Hydrogenated Carbonate,Antioxidant,0,0,Acne,Acne,A standard cosmetic antioxidant used in skincare formulations.
Lauroyl Collagen,Chelating,1,0,Aging,None,A standard cosmetic chelating used in skincare formulations.
Calendula Officinalis Butter,Soothing,4,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Calendula Officinalis.
Zea Mays Callus Culture Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Zea Mays.
Palmitoyl Soy Protein,Antioxidant,1,1,Aging,Acne,A standard cosmetic antioxidant used in skincare formulations.
Cetyl Tocopherol,Buffering,2,1,Oily,Dry,A standard cosmetic buffering used in skincare formulations.
Aluminum Niacinamide,Viscosity Controller,2,0,Dry,Dry,A standard cosmetic viscosity controller used in skincare formulations.
Ethyl Phosphate,Humectant,2,0,Aging,Oily,A standard cosmetic humectant used in skincare formulations.
Polyglyceryl-3 Laurate,Emollient,5,0,Dry,Oily,A standard cosmetic emollient used in skincare formulations.
Cocoyl Niacinamide,Viscosity Controller,1,0,Dry,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
PPG-10 Sorbate,Antioxidant,2,1,Aging,None,A standard cosmetic antioxidant used in skincare formulations.
Persea Gratissima Ferment Filtrate,Humectant,0,0,Aging,None,Natural plant-derived humectant from Persea Gratissima.
Polysorbate 20 Oat Protein,Viscosity Controller,1,1,Dry,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Myristoyl Tocopherol,Surfactant,1,0,Oily,Dry,A standard cosmetic surfactant used in skincare formulations.
PEG-40 Copolymer,Antioxidant,0,1,Sensitive,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Calcium Peptide,Soothing,1,1,Oily,Oily,A standard cosmetic soothing used in skincare formulations.
Argania Spinosa Flower Extract,Emollient,0,0,All,None,Natural plant-derived emollient from Argania Spinosa.
Iron Oxide,Emulsifier,2,0,All,Oily,A standard cosmetic emulsifier used in skincare formulations.
Caprylic Silk,Viscosity Controller,1,1,All,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Propyl Carbonate,Buffering,1,1,Aging,Dry,A standard cosmetic buffering used in skincare formulations.
Glyceryl Gluconate,Antioxidant,1,0,All,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Lauroyl Ceramide AP,Preservative,0,1,Aging,Acne,A standard cosmetic preservative used in skincare formulations.
Ethyl Copolymer,Chelating,1,1,Sensitive,Dry,A standard cosmetic chelating used in skincare formulations.
Simmondsia Chinensis Butter,Antioxidant,1,0,Sensitive,None,Natural plant-derived antioxidant from Simmondsia Chinensis.
Glycine Soja Butter,Soothing,4,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Glycine Soja.
Triticum Vulgare Fruit Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Triticum Vulgare.
Citrus Limon Butter,Soothing,4,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Citrus Limon.
Glyceryl Citrate,Chelating,1,0,Sensitive,Dry,A standard cosmetic chelating used in skincare formulations.
Zinc Copolymer,Exfoliant,0,4,All,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Isobutyl Soy Protein,Preservative,0,5,Aging,None,A standard cosmetic preservative used in skincare formulations.
PPG-10 Wheat Protein,Emollient,2,1,Dry,Dry,A standard cosmetic emollient used in skincare formulations.
Stearyl Panthenol,Exfoliant,2,5,Aging,Acne,A standard cosmetic exfoliant used in skincare formulations.
Citrus Limon Juice,Antioxidant,0,0,Aging,None,Natural plant-derived antioxidant from Citrus Limon.
Behenyl Retinol,Astringent,0,1,Aging,Oily,A standard cosmetic astringent used in skincare formulations.
Calcium Oat Protein,Emollient,1,1,Sensitive,None,A standard cosmetic emollient used in skincare formulations.
Simmondsia Chinensis Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Simmondsia Chinensis.
Copper Acetate,Solvent,0,1,Dry,None,A standard cosmetic solvent used in skincare formulations.
Macadamia Ternifolia Extract,Emollient,0,0,Aging,None,Natural plant-derived emollient from Macadamia Ternifolia.
Polysorbate 60 Peptide,Emollient,3,1,Acne,None,A standard cosmetic emollient used in skincare formulations.
Cetearyl Oxide,Preservative,1,2,Acne,Dry,A standard cosmetic preservative used in skincare formulations.
Myristyl Ceramide AP,Chelating,1,0,Acne,Acne,A standard cosmetic chelating used in skincare formulations.
Cetyl Carbonate,Antioxidant,2,1,Sensitive,Acne,A standard cosmetic antioxidant used in skincare formulations.
Rosmarinus Officinalis Flower Extract,Humectant,0,0,Dry,None,Natural plant-derived humectant from Rosmarinus Officinalis.
Cocoyl Palmitate,Thickener,5,0,Aging,None,A standard cosmetic thickener used in skincare formulations.
PPG-10 Hyaluronate,Thickener,4,0,Sensitive,Dry,A standard cosmetic thickener used in skincare formulations.
Helianthus Annuus Flower Extract,Antioxidant,0,0,All,None,Natural plant-derived antioxidant from Helianthus Annuus.
Butyrospermum Parkii Wax,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Butyrospermum Parkii.
Iron Elastin,Chelating,0,1,All,Sensitive,A standard cosmetic chelating used in skincare formulations.
PPG-10 Panthenol,Preservative,0,0,All,Sensitive,A standard cosmetic preservative used in skincare formulations.
Capric Phosphate,Viscosity Controller,0,1,Acne,Dry,A standard cosmetic viscosity controller used in skincare formulations.
Helianthus Annuus Fruit Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Helianthus Annuus.
PPG-10 Phosphate,Thickener,2,1,Sensitive,Dry,A standard cosmetic thickener used in skincare formulations.
Polysorbate 60 Laurate,Soothing,2,1,Dry,Dry,A standard cosmetic soothing used in skincare formulations.
Melaleuca Alternifolia Water,Emollient,0,0,All,None,Natural plant-derived emollient from Melaleuca Alternifolia.
Cetearyl Lactate,Soothing,1,0,Sensitive,Oily,A standard cosmetic soothing used in skincare formulations.
Lavandula Angustifolia Ferment Filtrate,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Lavandula Angustifolia.
Hydrogenated Sulfate,Viscosity Controller,0,1,Oily,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Potassium Phosphate,Exfoliant,2,1,Acne,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Ginkgo Biloba Leaf Extract,Emollient,0,0,Aging,None,Natural plant-derived emollient from Ginkgo Biloba.
Magnesium Chloride,Chelating,0,0,All,Dry,A standard cosmetic chelating used in skincare formulations.
Titanium Ceramide AP,Emulsifier,2,0,Oily,Acne,A standard cosmetic emulsifier used in skincare formulations.
Myristyl Oxide,Exfoliant,1,3,Sensitive,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Rubus Idaeus Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Rubus Idaeus.
Vitis Vinifera Callus Culture Extract,Emollient,0,0,Dry,None,Natural plant-derived emollient from Vitis Vinifera.
Aluminum Carbonate,Buffering,1,0,Aging,None,A standard cosmetic buffering used in skincare formulations.
Cocoyl Tocopherol,Emollient,5,0,Aging,Acne,A standard cosmetic emollient used in skincare formulations.
Triticum Vulgare Leaf Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Triticum Vulgare.
Sodium Sulfate,Humectant,2,0,Acne,Acne,A standard cosmetic humectant used in skincare formulations.
Centella Asiatica Wax,Emollient,0,0,Acne,None,Natural plant-derived emollient from Centella Asiatica.
Behenyl Copolymer,Solvent,0,1,Oily,Sensitive,A standard cosmetic solvent used in skincare formulations.
Isopropyl Stearate,Exfoliant,1,1,Aging,Oily,A standard cosmetic exfoliant used in skincare formulations.
Polyglyceryl-3 Oat Protein,Humectant,1,0,All,Dry,A standard cosmetic humectant used in skincare formulations.
Butyl Ceramide AP,Emollient,0,0,Oily,Acne,A standard cosmetic emollient used in skincare formulations.
Polysorbate 20 Carbonate,Viscosity Controller,2,0,Oily,Dry,A standard cosmetic viscosity controller used in skincare formulations.
Potassium Ceramide AP,Viscosity Controller,0,1,Aging,Sensitive,A standard cosmetic viscosity controller used in skincare formulations.
Potassium Ceramide NP,Surfactant,1,5,Sensitive,Dry,A standard cosmetic surfactant used in skincare formulations.
Simmondsia Chinensis Juice,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Simmondsia Chinensis.
Cocoyl Carbonate,Emollient,2,0,Dry,Acne,A standard cosmetic emollient used in skincare formulations.
Polyglyceryl-3 Oleate,Humectant,2,0,Sensitive,Sensitive,A standard cosmetic humectant used in skincare formulations.
Methyl Carbonate,Thickener,1,0,Oily,Sensitive,A standard cosmetic thickener used in skincare formulations.
Polysorbate 80 Salicylate,Preservative,2,1,Oily,Oily,A standard cosmetic preservative used in skincare formulations.
Camellia Sinensis Fruit Extract,Emollient,0,0,Aging,None,Natural plant-derived emollient from Camellia Sinensis.
Sorbitan Panthenol,Emollient,5,1,Oily,Dry,A standard cosmetic emollient used in skincare formulations.
Isobutyl Ceramide EOP,Thickener,1,0,Oily,Dry,A standard cosmetic thickener used in skincare formulations.
Helianthus Annuus Ferment Filtrate,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Helianthus Annuus.
Mentha Piperita Root Extract,Humectant,0,0,Oily,None,Natural plant-derived humectant from Mentha Piperita.
Isopropyl Palmitate,Thickener,2,1,Acne,Sensitive,A standard cosmetic thickener used in skincare formulations.
Rosa Damascena Water,Antioxidant,0,0,All,None,Natural plant-derived antioxidant from Rosa Damascena.
Potassium Panthenol,Antioxidant,0,1,Acne,Oily,A standard cosmetic antioxidant used in skincare formulations.
PPG-10 Salicylate,Emulsifier,0,0,Sensitive,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Glycine Soja Seed Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Glycine Soja.
Zinc Ceramide AP,Chelating,2,1,Dry,Sensitive,A standard cosmetic chelating used in skincare formulations.
Aloe Barbadensis Seed Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Aloe Barbadensis.
Persea Gratissima Wax,Emollient,0,0,All,None,Natural plant-derived emollient from Persea Gratissima.
PPG-10 Ceramide NP,Antioxidant,0,1,Oily,Dry,A standard cosmetic antioxidant used in skincare formulations.
Propyl Sulfate,Preservative,2,3,All,Sensitive,A standard cosmetic preservative used in skincare formulations.
Isobutyl Gluconate,Solvent,0,0,Aging,None,A standard cosmetic solvent used in skincare formulations.
Glyceryl Soy Protein,Preservative,1,3,All,Acne,A standard cosmetic preservative used in skincare formulations.
Glycyrrhiza Glabra Flower Extract,Humectant,0,0,Oily,None,Natural plant-derived humectant from Glycyrrhiza Glabra.
Hydrogenated Keratin,Humectant,2,1,All,Dry,A standard cosmetic humectant used in skincare formulations.
PEG-100 Linoleate,Chelating,1,1,Aging,Oily,A standard cosmetic chelating used in skincare formulations.
PEG-100 Benzoate,Emollient,3,1,All,Sensitive,A standard cosmetic emollient used in skincare formulations.
Magnesium Sorbate,Exfoliant,0,2,Sensitive,Oily,A standard cosmetic exfoliant used in skincare formulations.
Capric Wheat Protein,Buffering,0,0,Sensitive,Sensitive,A standard cosmetic buffering used in skincare formulations.
PPG-10 Copolymer,Preservative,1,3,Sensitive,Oily,A standard cosmetic preservative used in skincare formulations.
Eucalyptus Globulus Seed Extract,Antioxidant,0,0,Aging,None,Natural plant-derived antioxidant from Eucalyptus Globulus.
Zinc Dioxide,Antioxidant,2,0,Aging,None,A standard cosmetic antioxidant used in skincare formulations.
Citrus Limon Fruit Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Citrus Limon.
Oryza Sativa Root Extract,Emollient,0,0,Dry,None,Natural plant-derived emollient from Oryza Sativa.
Calendula Officinalis Oil,Humectant,4,0,All,None,Natural plant-derived humectant from Calendula Officinalis.
PEG-8 Stearate,Humectant,1,1,Dry,Sensitive,A standard cosmetic humectant used in skincare formulations.
Oryza Sativa Butter,Antioxidant,4,0,Acne,None,Natural plant-derived antioxidant from Oryza Sativa.
Titanium Oxide,Viscosity Controller,2,0,Dry,None,A standard cosmetic viscosity controller used in skincare formulations.
Caprylic Citrate,Chelating,0,0,Aging,None,A standard cosmetic chelating used in skincare formulations.
Myristyl Oleate,Chelating,2,1,Aging,Oily,A standard cosmetic chelating used in skincare formulations.
Sorbitan Soy Protein,Preservative,0,0,Acne,Sensitive,A standard cosmetic preservative used in skincare formulations.
Lauryl Acetate,Astringent,2,0,Aging,None,A standard cosmetic astringent used in skincare formulations.
Macadamia Ternifolia Seed Extract,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Macadamia Ternifolia.
Acetylated Niacinamide,Antioxidant,1,0,All,Acne,A standard cosmetic antioxidant used in skincare formulations.
Myristoyl Oxide,Preservative,1,1,Dry,Dry,A standard cosmetic preservative used in skincare formulations.
Glyceryl Hyaluronate,Astringent,2,0,Acne,Dry,A standard cosmetic astringent used in skincare formulations.
Palmitoyl Niacinamide,Buffering,0,1,Dry,None,A standard cosmetic buffering used in skincare formulations.
Ethyl Ceramide EOP,Emulsifier,0,1,Oily,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Lauroyl Copolymer,Antioxidant,2,1,Sensitive,Oily,A standard cosmetic antioxidant used in skincare formulations.
PEG-20 Oat Protein,Buffering,1,1,Aging,Oily,A standard cosmetic buffering used in skincare formulations.
PEG-8 Collagen,Preservative,0,1,Dry,Acne,A standard cosmetic preservative used in skincare formulations.
PPG-10 Collagen,Preservative,2,0,Sensitive,None,A standard cosmetic preservative used in skincare formulations.
Cocamidopropyl Palmitate,Viscosity Controller,1,0,Aging,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Lavandula Angustifolia Juice,Antioxidant,0,0,Acne,None,Natural plant-derived antioxidant from Lavandula Angustifolia.
Calcium Salicylate,Thickener,2,1,All,Sensitive,A standard cosmetic thickener used in skincare formulations.
Glyceryl Benzoate,Humectant,1,0,Acne,Dry,A standard cosmetic humectant used in skincare formulations.
Polysorbate 20 Ceramide AP,Humectant,2,1,Sensitive,Sensitive,A standard cosmetic humectant used in skincare formulations.
Capric Ceramide EOP,Antioxidant,2,1,Dry,None,A standard cosmetic antioxidant used in skincare formulations.
Isopropyl Myristate,Surfactant,1,2,Oily,Oily,A standard cosmetic surfactant used in skincare formulations.
Prunus Amygdalus Dulcis Essential Oil,Emollient,2,3,Oily,Sensitive,Natural plant-derived emollient from Prunus Amygdalus Dulcis.
Triticum Vulgare Wax,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Triticum Vulgare.
Olea Europaea Ferment Filtrate,Humectant,0,0,All,None,Natural plant-derived humectant from Olea Europaea.
Sorbitan Collagen,Soothing,2,0,Aging,Dry,A standard cosmetic soothing used in skincare formulations.
Cetyl Silk,Emulsifier,1,0,Dry,Oily,A standard cosmetic emulsifier used in skincare formulations.
Stearyl Oat Protein,Soothing,1,0,All,Sensitive,A standard cosmetic soothing used in skincare formulations.
Methyl Crosspolymer,Exfoliant,0,5,All,Acne,A standard cosmetic exfoliant used in skincare formulations.
Ginkgo Biloba Root Extract,Antioxidant,0,0,Oily,None,Natural plant-derived antioxidant from Ginkgo Biloba.
Cocamidopropyl Phosphate,Preservative,0,1,Sensitive,None,A standard cosmetic preservative used in skincare formulations.
PPG-10 Hydroxide,Chelating,0,0,Sensitive,None,A standard cosmetic chelating used in skincare formulations.
Punica Granatum Root Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Punica Granatum.
Glyceryl Dioxide,Chelating,0,0,Oily,Acne,A standard cosmetic chelating used in skincare formulations.
Caprylic Crosspolymer,Solvent,2,0,Sensitive,Dry,A standard cosmetic solvent used in skincare formulations.
Butyl Niacinamide,Astringent,0,0,All,None,A standard cosmetic astringent used in skincare formulations.
PEG-100 Gluconate,Humectant,0,1,Oily,None,A standard cosmetic humectant used in skincare formulations.
PEG-8 Keratin,Emollient,2,0,Dry,Oily,A standard cosmetic emollient used in skincare formulations.
Ginkgo Biloba Bark Extract,Emollient,0,0,Dry,None,Natural plant-derived emollient from Ginkgo Biloba.
PEG-40 Panthenol,Humectant,1,0,Acne,Dry,A standard cosmetic humectant used in skincare formulations.
Isopropyl Sorbate,Emulsifier,2,0,Dry,Sensitive,A standard cosmetic emulsifier used in skincare formulations.
Sorbitan Retinol,Humectant,1,1,Aging,Dry,A standard cosmetic humectant used in skincare formulations.
Avena Sativa Ferment Filtrate,Antioxidant,0,0,Sensitive,None,Natural plant-derived antioxidant from Avena Sativa.
Acetylated Phosphate,Thickener,4,1,Oily,Sensitive,A standard cosmetic thickener used in skincare formulations.
Camellia Sinensis Bark Extract,Humectant,0,0,Acne,None,Natural plant-derived humectant from Camellia Sinensis.
Ethyl Collagen,Exfoliant,1,0,All,None,A standard cosmetic exfoliant used in skincare formulations.
Copper Retinol,Viscosity Controller,2,1,Acne,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Polyglyceryl-3 Retinol,Astringent,2,1,Acne,Sensitive,A standard cosmetic astringent used in skincare formulations.
PEG-100 Myristate,Buffering,2,1,Aging,Dry,A standard cosmetic buffering used in skincare formulations.
Macadamia Ternifolia Root Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Macadamia Ternifolia.
Propyl Oxide,Emulsifier,2,0,Oily,Oily,A standard cosmetic emulsifier used in skincare formulations.
Punica Granatum Fruit Extract,Humectant,0,0,Sensitive,None,Natural plant-derived humectant from Punica Granatum.
Rosmarinus Officinalis Juice,Humectant,0,0,Sensitive,None,Natural plant-derived humectant from Rosmarinus Officinalis.
Polysorbate 60 Myristate,Solvent,0,1,Aging,Sensitive,A standard cosmetic solvent used in skincare formulations.
PEG-20 Silk,Surfactant,2,4,Sensitive,Sensitive,A standard cosmetic surfactant used in skincare formulations.
Lauroyl Citrate,Exfoliant,2,3,All,Oily,A standard cosmetic exfoliant used in skincare formulations.
Cocos Nucifera Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Cocos Nucifera.
PEG-100 Hydroxide,Emollient,0,0,Aging,Dry,A standard cosmetic emollient used in skincare formulations.
Camellia Sinensis Leaf Extract,Emollient,0,0,All,None,Natural plant-derived emollient from Camellia Sinensis.
Palmitoyl Salicylate,Surfactant,2,5,All,Acne,A standard cosmetic surfactant used in skincare formulations.
Myristyl Collagen,Emollient,3,1,Acne,Acne,A standard cosmetic emollient used in skincare formulations.
Magnesium Ascorbate,Antioxidant,2,1,Dry,None,A standard cosmetic antioxidant used in skincare formulations.
Magnesium Retinol,Viscosity Controller,1,0,Aging,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Oryza Sativa Seed Extract,Emollient,0,0,All,None,Natural plant-derived emollient from Oryza Sativa.
Caprylic Panthenol,Viscosity Controller,0,0,All,Oily,A standard cosmetic viscosity controller used in skincare formulations.
PEG-20 Carbonate,Preservative,0,0,Acne,Dry,A standard cosmetic preservative used in skincare formulations.
Copper Sorbate,Chelating,1,1,Oily,None,A standard cosmetic chelating used in skincare formulations.
Myristoyl Acetate,Surfactant,0,0,Aging,None,A standard cosmetic surfactant used in skincare formulations.
Myristoyl Copolymer,Solvent,2,1,All,Acne,A standard cosmetic solvent used in skincare formulations.
Triticum Vulgare Butter,Emollient,4,0,Sensitive,None,Natural plant-derived emollient from Triticum Vulgare.
Titanium Ceramide EOP,Solvent,0,0,Dry,Sensitive,A standard cosmetic solvent used in skincare formulations.
PEG-40 Citrate,Astringent,1,0,Dry,Oily,A standard cosmetic astringent used in skincare formulations.
Sorbitan Keratin,Thickener,1,1,Aging,Oily,A standard cosmetic thickener used in skincare formulations.
